L,R,D,U,測試次數,最多移動步數,掉落次數,掉落機率
88,160,93,155,10000,1000,8213,0.8213
363,660,403,620,10000,1000,8398,0.8398
187,340,217,310,10000,1000,8710,0.871
77,140,93,124,10000,1000,8901,0.8901
99,180,124,155,10000,1000,9073,0.9073
407,740,527,620,10000,1000,9321,0.9321
209,380,279,310,10000,1000,9516,0.9516
429,780,589,620,10000,1000,9677,0.9677
63,105,8,160,10000,1000,6216,0.6216
33,55,8,80,10000,1000,6393,0.6393
69,115,24,160,10000,1000,6663,0.6663
9,15,4,20,10000,1000,6784,0.6784
15,25,8,32,10000,1000,6968,0.6968
39,65,24,80,10000,1000,7200,0.72
81,135,56,160,10000,1000,7389,0.7389
21,35,16,40,10000,1000,7675,0.7675
87,145,72,160,10000,1000,7794,0.7794
9,15,8,16,10000,1000,8015,0.8015
93,155,88,160,10000,1000,8221,0.8221
3,5,3,5,10000,1000,8374,0.8374
99,165,104,160,10000,1000,8633,0.8633
51,85,56,80,10000,1000,8773,0.8773
21,35,24,32,10000,1000,9021,0.9021
27,45,32,40,10000,1000,9227,0.9227
111,185,136,160,10000,1000,9382,0.9382
57,95,72,80,10000,1000,9573,0.9573
117,195,152,160,10000,1000,9754,0.9754
91,140,11,220,10000,1000,6588,0.6588
13,20,3,30,10000,1000,6767,0.6767
299,460,99,660,10000,1000,7055,0.7055
26,40,11,55,10000,1000,7261,0.7261
65,100,33,132,10000,1000,7370,0.737
169,260,99,330,10000,1000,7536,0.7536
117,180,77,220,10000,1000,7753,0.7753
91,140,66,165,10000,1000,7904,0.7904
377,580,297,660,10000,1000,8089,0.8089
13,20,11,22,10000,1000,8229,0.8229
403,620,363,660,10000,1000,8465,0.8465
104,160,99,165,10000,1000,8591,0.8591
13,20,13,20,10000,1000,8801,0.8801
221,340,231,330,10000,1000,9025,0.9025
91,140,99,132,10000,1000,9094,0.9094
39,60,44,55,10000,1000,9307,0.9307
481,740,561,660,10000,1000,9479,0.9479
247,380,297,330,10000,1000,9675,0.9675
169,260,209,220,10000,1000,9749,0.9749
147,210,17,340,10000,1000,7127,0.7127
77,110,17,170,10000,1000,7267,0.7267
161,230,51,340,10000,1000,7384,0.7384
42,60,17,85,10000,1000,7594,0.7594
35,50,17,68,10000,1000,7719,0.7719
91,130,51,170,10000,1000,7851,0.7851
189,270,119,340,10000,1000,7978,0.7978
49,70,34,85,10000,1000,8171,0.8171
203,290,153,340,10000,1000,8333,0.8333
21,30,17,34,10000,1000,8517,0.8517
217,310,187,340,10000,1000,8649,0.8649
56,80,51,85,10000,1000,8802,0.8802
231,330,221,340,10000,1000,8957,0.8957
7,10,7,10,10000,1000,9100,0.91
49,70,51,68,10000,1000,9282,0.9282
63,90,68,85,10000,1000,9421,0.9421
259,370,289,340,10000,1000,9511,0.9511
133,190,153,170,10000,1000,9687,0.9687
273,390,323,340,10000,1000,9804,0.9804
9,12,1,20,10000,1000,7662,0.7662
33,44,7,70,10000,1000,7759,0.7759
69,92,21,140,10000,1000,7859,0.7859
18,24,7,35,10000,1000,7953,0.7953
15,20,7,28,10000,1000,8070,0.807
39,52,21,70,10000,1000,8255,0.8255
81,108,49,140,10000,1000,8375,0.8375
3,4,2,5,10000,1000,8489,0.8489
87,116,63,140,10000,1000,8564,0.8564
9,12,7,14,10000,1000,8769,0.8769
93,124,77,140,10000,1000,8915,0.8915
24,32,21,35,10000,1000,9024,0.9024
99,132,91,140,10000,1000,9114,0.9114
51,68,49,70,10000,1000,9245,0.9245
3,4,3,4,10000,1000,9371,0.9371
27,36,28,35,10000,1000,9476,0.9476
111,148,119,140,10000,1000,9626,0.9626
57,76,63,70,10000,1000,9742,0.9742
117,156,133,140,10000,1000,9849,0.9849
28,35,3,60,10000,1000,8088,0.8088
44,55,9,90,10000,1000,8154,0.8154
92,115,27,180,10000,1000,8339,0.8339
8,10,3,15,10000,1000,8367,0.8367
20,25,9,36,10000,1000,8483,0.8483
52,65,27,90,10000,1000,8550,0.855
12,15,7,20,10000,1000,8743,0.8743
28,35,18,45,10000,1000,8754,0.8754
116,145,81,180,10000,1000,8912,0.8912
4,5,3,6,10000,1000,9016,0.9016
124,155,99,180,10000,1000,9052,0.9052
32,40,27,45,10000,1000,9139,0.9139
44,55,39,60,10000,1000,9254,0.9254
68,85,63,90,10000,1000,9423,0.9423
28,35,27,36,10000,1000,9504,0.9504
4,5,4,5,10000,1000,9581,0.9581
148,185,153,180,10000,1000,9679,0.9679
76,95,81,90,10000,1000,9774,0.9774
52,65,57,60,10000,1000,9865,0.9865
357,420,37,740,10000,1000,8512,0.8512
187,220,37,370,10000,1000,8686,0.8686
391,460,111,740,10000,1000,8701,0.8701
102,120,37,185,10000,1000,8832,0.8832
85,100,37,148,10000,1000,8929,0.8929
221,260,111,370,10000,1000,8884,0.8884
459,540,259,740,10000,1000,9011,0.9011
119,140,74,185,10000,1000,9101,0.9101
493,580,333,740,10000,1000,9180,0.918
51,60,37,74,10000,1000,9218,0.9218
527,620,407,740,10000,1000,9316,0.9316
136,160,111,185,10000,1000,9416,0.9416
561,660,481,740,10000,1000,9444,0.9444
289,340,259,370,10000,1000,9545,0.9545
119,140,111,148,10000,1000,9607,0.9607
153,180,148,185,10000,1000,9677,0.9677
17,20,17,20,10000,1000,9761,0.9761
323,380,333,370,10000,1000,9839,0.9839
663,780,703,740,10000,1000,9901,0.9901
189,210,19,380,10000,1000,8963,0.8963
99,110,19,190,10000,1000,9022,0.9022
207,230,57,380,10000,1000,9122,0.9122
54,60,19,95,10000,1000,9132,0.9132
45,50,19,76,10000,1000,9202,0.9202
117,130,57,190,10000,1000,9300,0.93
243,270,133,380,10000,1000,9330,0.933
63,70,38,95,10000,1000,9382,0.9382
261,290,171,380,10000,1000,9422,0.9422
27,30,19,38,10000,1000,9478,0.9478
279,310,209,380,10000,1000,9542,0.9542
72,80,57,95,10000,1000,9544,0.9544
297,330,247,380,10000,1000,9607,0.9607
153,170,133,190,10000,1000,9682,0.9682
63,70,57,76,10000,1000,9720,0.972
81,90,76,95,10000,1000,9812,0.9812
333,370,323,380,10000,1000,9820,0.982
9,10,9,10,10000,1000,9920,0.992
351,390,361,380,10000,1000,9923,0.9923
133,140,13,260,10000,1000,9396,0.9396
209,220,39,390,10000,1000,9388,0.9388
437,460,117,780,10000,1000,9457,0.9457
38,40,13,65,10000,1000,9466,0.9466
95,100,39,156,10000,1000,9529,0.9529
19,20,9,30,10000,1000,9560,0.956
171,180,91,260,10000,1000,9606,0.9606
133,140,78,195,10000,1000,9606,0.9606
551,580,351,780,10000,1000,9573,0.9573
19,20,13,26,10000,1000,9668,0.9668
589,620,429,780,10000,1000,9709,0.9709
152,160,117,195,10000,1000,9750,0.975
209,220,169,260,10000,1000,9772,0.9772
323,340,273,390,10000,1000,9810,0.981
133,140,117,156,10000,1000,9851,0.9851
57,60,52,65,10000,1000,9881,0.9881
703,740,663,780,10000,1000,9887,0.9887
361,380,351,390,10000,1000,9938,0.9938
19,20,19,20,10000,1000,9963,0.9963
,,,,,,,
1,20,1,20,10000,10000,1027,0.1027
11,220,21,210,10000,10000,1489,0.1489
23,460,63,420,10000,10000,1904,0.1904
2,40,7,35,10000,10000,2467,0.2467
5,100,21,84,10000,10000,2874,0.2874
13,260,63,210,10000,10000,3360,0.336
9,180,49,140,10000,10000,3767,0.3767
1,20,6,15,10000,10000,4363,0.4363
29,580,189,420,10000,10000,4809,0.4809
1,20,7,14,10000,10000,5218,0.5218
31,620,231,420,10000,10000,5650,0.565
8,160,63,105,10000,10000,6148,0.6148
11,220,91,140,10000,10000,6725,0.6725
17,340,147,210,10000,10000,7167,0.7167
1,20,9,12,10000,10000,7637,0.7637
3,60,28,35,10000,10000,8130,0.813
37,740,357,420,10000,10000,8619,0.8619
19,380,189,210,10000,10000,9065,0.9065
13,260,133,140,10000,10000,9530,0.953
21,210,11,220,10000,10000,1485,0.1485
1,10,1,10,10000,10000,1940,0.194
23,230,33,220,10000,10000,2337,0.2337
6,60,11,55,10000,10000,2789,0.2789
5,50,11,44,10000,10000,3213,0.3213
13,130,33,110,10000,10000,3691,0.3691
27,270,77,220,10000,10000,4165,0.4165
7,70,22,55,10000,10000,4505,0.4505
29,290,99,220,10000,10000,5059,0.5059
3,30,11,22,10000,10000,5462,0.5462
31,310,121,220,10000,10000,6015,0.6015
8,80,33,55,10000,10000,6383,0.6383
3,30,13,20,10000,10000,6892,0.6892
17,170,77,110,10000,10000,7305,0.7305
7,70,33,44,10000,10000,7757,0.7757
9,90,44,55,10000,10000,8200,0.82
37,370,187,220,10000,10000,8687,0.8687
19,190,99,110,10000,10000,9071,0.9071
39,390,209,220,10000,10000,9517,0.9517
63,420,23,460,10000,10000,1919,0.1919
33,220,23,230,10000,10000,2370,0.237
3,20,3,20,10000,10000,2782,0.2782
18,120,23,115,10000,10000,3164,0.3164
15,100,23,92,10000,10000,3587,0.3587
39,260,69,230,10000,10000,4064,0.4064
81,540,161,460,10000,10000,4452,0.4452
